"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"02.01.2021 08:30 - 02.01.2021 08:45","102","102","n/e","65","65","n/e","113","113","n/e"
"02.01.2021 08:45 - 02.01.2021 09:00","155","155","n/e","64","64","n/e","120","120","n/e"
"02.01.2021 09:00 - 02.01.2021 09:15","207","207","n/e","62","62","n/e","126","126","n/e"
"02.01.2021 09:15 - 02.01.2021 09:30","273","273","n/e","59","59","n/e","128","128","n/e"
"02.01.2021 09:30 - 02.01.2021 09:45","334","334","n/e","53","53","n/e","129","129","n/e"
"02.01.2021 09:45 - 02.01.2021 10:00","399","399","n/e","47","47","n/e","129","129","n/e"
"02.01.2021 10:00 - 02.01.2021 10:15","464","464","n/e","42","42","n/e","129","129","n/e"
"02.01.2021 10:15 - 02.01.2021 10:30","502","502","n/e","37","37","n/e","126","126","n/e"
"02.01.2021 10:30 - 02.01.2021 10:45","537","537","n/e","34","34","n/e","118","118","n/e"
"02.01.2021 10:45 - 02.01.2021 11:00","574","574","n/e","30","30","n/e","112","112","n/e"
"02.01.2021 11:00 - 02.01.2021 11:15","615","615","n/e","27","27","n/e","103","103","n/e"
"02.01.2021 11:15 - 02.01.2021 11:30","623","623","n/e","26","26","n/e","97","97","n/e"
"02.01.2021 11:30 - 02.01.2021 11:45","631","631","n/e","28","28","n/e","92","92","n/e"
"02.01.2021 11:45 - 02.01.2021 12:00","640","640","n/e","30","30","n/e","88","88","n/e"
"02.01.2021 12:00 - 02.01.2021 12:15","650","650","n/e","32","32","n/e","82","82","n/e"
