"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|NL","Generation - Solar  [MW] Intraday / BZN|NL","Generation - Solar  [MW] Current / BZN|NL","Generation - Wind Offshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Offshore  [MW] Intraday / BZN|NL","Generation - Wind Offshore  [MW] Current / BZN|NL","Generation - Wind Onshore  [MW] Day Ahead/ BZN|NL","Generation - Wind Onshore  [MW] Intraday / BZN|NL","Generation - Wind Onshore  [MW] Current / BZN|NL"
"10.08.2021 10:15 - 10.08.2021 10:30","3400","3400","n/e","390","390","n/e","605","605","n/e"
"10.08.2021 10:30 - 10.08.2021 10:45","3447","3447","n/e","398","398","n/e","608","608","n/e"
"10.08.2021 10:45 - 10.08.2021 11:00","3496","3496","n/e","405","405","n/e","611","611","n/e"
"10.08.2021 11:00 - 10.08.2021 11:15","3543","3543","n/e","413","413","n/e","613","613","n/e"
"10.08.2021 11:15 - 10.08.2021 11:30","3635","3635","n/e","415","415","n/e","611","611","n/e"
"10.08.2021 11:30 - 10.08.2021 11:45","3726","3726","n/e","410","410","n/e","606","606","n/e"
"10.08.2021 11:45 - 10.08.2021 12:00","3816","3816","n/e","406","406","n/e","598","598","n/e"
"10.08.2021 12:00 - 10.08.2021 12:15","3908","3908","n/e","402","402","n/e","595","595","n/e"
"10.08.2021 12:15 - 10.08.2021 12:30","3981","3981","n/e","403","403","n/e","608","608","n/e"
"10.08.2021 12:30 - 10.08.2021 12:45","4052","4052","n/e","410","410","n/e","641","641","n/e"
"10.08.2021 12:45 - 10.08.2021 13:00","4124","4124","n/e","418","418","n/e","674","674","n/e"
"10.08.2021 13:00 - 10.08.2021 13:15","4196","4196","n/e","425","425","n/e","708","708","n/e"
"10.08.2021 13:15 - 10.08.2021 13:30","4161","4161","n/e","430","430","n/e","722","722","n/e"
"10.08.2021 13:30 - 10.08.2021 13:45","4125","4125","n/e","431","431","n/e","715","715","n/e"
"10.08.2021 13:45 - 10.08.2021 14:00","4089","4089","n/e","433","433","n/e","711","711","n/e"
"10.08.2021 14:00 - 10.08.2021 14:15","4055","4055","n/e","435","435","n/e","705","705","n/e"
"10.08.2021 14:15 - 10.08.2021 14:30","3956","3956","n/e","434","434","n/e","704","704","n/e"
"10.08.2021 14:30 - 10.08.2021 14:45","3861","3861","n/e","430","430","n/e","709","709","n/e"
"10.08.2021 14:45 - 10.08.2021 15:00","3764","3764","n/e","426","426","n/e","712","712","n/e"
"10.08.2021 15:00 - 10.08.2021 15:15","3669","3669","n/e","423","423","n/e","716","716","n/e"
"10.08.2021 15:15 - 10.08.2021 15:30","3487","3487","n/e","412","412","n/e","706","706","n/e"
"10.08.2021 15:30 - 10.08.2021 15:45","3303","3303","n/e","393","393","n/e","677","677","n/e"
"10.08.2021 15:45 - 10.08.2021 16:00","3122","3122","n/e","374","374","n/e","651","651","n/e"
"10.08.2021 16:00 - 10.08.2021 16:15","2940","2940","n/e","356","356","n/e","627","627","n/e"
"10.08.2021 16:15 - 10.08.2021 16:30","2668","2668","n/e","338","338","n/e","596","596","n/e"
"10.08.2021 16:30 - 10.08.2021 16:45","2398","2398","n/e","322","322","n/e","562","562","n/e"
"10.08.2021 16:45 - 10.08.2021 17:00","2127","2127","n/e","306","306","n/e","523","523","n/e"
"10.08.2021 17:00 - 10.08.2021 17:15","1857","1857","n/e","290","290","n/e","489","489","n/e"
"10.08.2021 17:15 - 10.08.2021 17:30","1602","1602","n/e","277","277","n/e","449","449","n/e"
"10.08.2021 17:30 - 10.08.2021 17:45","1347","1347","n/e","266","266","n/e","404","404","n/e"
"10.08.2021 17:45 - 10.08.2021 18:00","1093","1093","n/e","255","255","n/e","360","360","n/e"
"10.08.2021 18:00 - 10.08.2021 18:15","840","840","n/e","243","243","n/e","315","315","n/e"
"10.08.2021 18:15 - 10.08.2021 18:30","672","672","n/e","237","237","n/e","280","280","n/e"
"10.08.2021 18:30 - 10.08.2021 18:45","504","504","n/e","236","236","n/e","260","260","n/e"
"10.08.2021 18:45 - 10.08.2021 19:00","337","337","n/e","235","235","n/e","239","239","n/e"
"10.08.2021 19:00 - 10.08.2021 19:15","172","172","n/e","233","233","n/e","215","215","n/e"
"10.08.2021 19:15 - 10.08.2021 19:30","127","127","n/e","231","231","n/e","201","201","n/e"
"10.08.2021 19:30 - 10.08.2021 19:45","86","86","n/e","228","228","n/e","199","199","n/e"
"10.08.2021 19:45 - 10.08.2021 20:00","43","43","n/e","225","225","n/e","195","195","n/e"
"10.08.2021 20:00 - 10.08.2021 20:15","0","0","n/e","222","222","n/e","193","193","n/e"
"10.08.2021 20:15 - 10.08.2021 20:30","0","0","n/e","226","226","n/e","192","192","n/e"
"10.08.2021 20:30 - 10.08.2021 20:45","0","0","n/e","238","238","n/e","195","195","n/e"
"10.08.2021 20:45 - 10.08.2021 21:00","0","0","n/e","250","250","n/e","196","196","n/e"
"10.08.2021 21:00 - 10.08.2021 21:15","0","0","n/e","262","262","n/e","199","199","n/e"
"10.08.2021 21:15 - 10.08.2021 21:30","0","0","n/e","266","266","n/e","206","206","n/e"
"10.08.2021 21:30 - 10.08.2021 21:45","0","0","n/e","263","263","n/e","221","221","n/e"
"10.08.2021 21:45 - 10.08.2021 22:00","0","0","n/e","260","260","n/e","236","236","n/e"
"10.08.2021 22:00 - 10.08.2021 22:15","0","0","n/e","256","256","n/e","251","251","n/e"
"10.08.2021 22:15 - 10.08.2021 22:30","0","0","n/e","253","253","n/e","270","270","n/e"
"10.08.2021 22:30 - 10.08.2021 22:45","0","0","n/e","249","249","n/e","296","296","n/e"
"10.08.2021 22:45 - 10.08.2021 23:00","0","0","n/e","246","246","n/e","321","321","n/e"
"10.08.2021 23:00 - 10.08.2021 23:15","0","0","n/e","242","242","n/e","347","347","n/e"
"10.08.2021 23:15 - 10.08.2021 23:30","0","0","n/e","240","240","n/e","366","366","n/e"
"10.08.2021 23:30 - 10.08.2021 23:45","0","0","n/e","240","240","n/e","377","377","n/e"
"10.08.2021 23:45 - 11.08.2021 00:00","0","0","n/e","240","240","n/e","391","391","n/e"
"11.08.2021 00:00 - 11.08.2021 00:15","0","0","n/e","146","146","n/e","219","219","n/e"
"11.08.2021 00:15 - 11.08.2021 00:30","0","0","n/e","150","150","n/e","237","237","n/e"
"11.08.2021 00:30 - 11.08.2021 00:45","0","0","n/e","152","152","n/e","249","249","n/e"
"11.08.2021 00:45 - 11.08.2021 01:00","0","0","n/e","153","153","n/e","263","263","n/e"
"11.08.2021 01:00 - 11.08.2021 01:15","0","0","n/e","155","155","n/e","275","275","n/e"
"11.08.2021 01:15 - 11.08.2021 01:30","0","0","n/e","157","157","n/e","288","288","n/e"
"11.08.2021 01:30 - 11.08.2021 01:45","0","0","n/e","161","161","n/e","301","301","n/e"
"11.08.2021 01:45 - 11.08.2021 02:00","0","0","n/e","164","164","n/e","313","313","n/e"
"11.08.2021 02:00 - 11.08.2021 02:15","0","0","n/e","167","167","n/e","329","329","n/e"
"11.08.2021 02:15 - 11.08.2021 02:30","0","0","n/e","171","171","n/e","340","340","n/e"
"11.08.2021 02:30 - 11.08.2021 02:45","0","0","n/e","178","178","n/e","351","351","n/e"
"11.08.2021 02:45 - 11.08.2021 03:00","0","0","n/e","184","184","n/e","361","361","n/e"
"11.08.2021 03:00 - 11.08.2021 03:15","0","0","n/e","190","190","n/e","369","369","n/e"
"11.08.2021 03:15 - 11.08.2021 03:30","0","0","n/e","193","193","n/e","370","370","n/e"
"11.08.2021 03:30 - 11.08.2021 03:45","0","0","n/e","194","194","n/e","363","363","n/e"
"11.08.2021 03:45 - 11.08.2021 04:00","0","0","n/e","195","195","n/e","356","356","n/e"
"11.08.2021 04:00 - 11.08.2021 04:15","0","0","n/e","195","195","n/e","349","349","n/e"
"11.08.2021 04:15 - 11.08.2021 04:30","6","6","n/e","188","188","n/e","337","337","n/e"
"11.08.2021 04:30 - 11.08.2021 04:45","14","14","n/e","173","173","n/e","321","321","n/e"
"11.08.2021 04:45 - 11.08.2021 05:00","18","18","n/e","157","157","n/e","307","307","n/e"
"11.08.2021 05:00 - 11.08.2021 05:15","27","27","n/e","142","142","n/e","291","291","n/e"
"11.08.2021 05:15 - 11.08.2021 05:30","156","156","n/e","134","134","n/e","274","274","n/e"
"11.08.2021 05:30 - 11.08.2021 05:45","285","285","n/e","132","132","n/e","255","255","n/e"
"11.08.2021 05:45 - 11.08.2021 06:00","415","415","n/e","131","131","n/e","238","238","n/e"
"11.08.2021 06:00 - 11.08.2021 06:15","542","542","n/e","130","130","n/e","220","220","n/e"
"11.08.2021 06:15 - 11.08.2021 06:30","755","755","n/e","130","130","n/e","206","206","n/e"
"11.08.2021 06:30 - 11.08.2021 06:45","963","963","n/e","131","131","n/e","202","202","n/e"
"11.08.2021 06:45 - 11.08.2021 07:00","1173","1173","n/e","133","133","n/e","196","196","n/e"
"11.08.2021 07:00 - 11.08.2021 07:15","1383","1383","n/e","134","134","n/e","190","190","n/e"
"11.08.2021 07:15 - 11.08.2021 07:30","1658","1658","n/e","136","136","n/e","186","186","n/e"
"11.08.2021 07:30 - 11.08.2021 07:45","1932","1932","n/e","136","136","n/e","182","182","n/e"
"11.08.2021 07:45 - 11.08.2021 08:00","2208","2208","n/e","137","137","n/e","180","180","n/e"
"11.08.2021 08:00 - 11.08.2021 08:15","2480","2480","n/e","137","137","n/e","176","176","n/e"
"11.08.2021 08:15 - 11.08.2021 08:30","2789","2789","n/e","138","138","n/e","175","175","n/e"
"11.08.2021 08:30 - 11.08.2021 08:45","3092","3092","n/e","140","140","n/e","175","175","n/e"
"11.08.2021 08:45 - 11.08.2021 09:00","3396","3396","n/e","141","141","n/e","176","176","n/e"
"11.08.2021 09:00 - 11.08.2021 09:15","3701","3701","n/e","143","143","n/e","177","177","n/e"
"11.08.2021 09:15 - 11.08.2021 09:30","3964","3964","n/e","147","147","n/e","179","179","n/e"
"11.08.2021 09:30 - 11.08.2021 09:45","4225","4225","n/e","154","154","n/e","185","185","n/e"
"11.08.2021 09:45 - 11.08.2021 10:00","4487","4487","n/e","160","160","n/e","188","188","n/e"
"11.08.2021 10:00 - 11.08.2021 10:15","4749","4749","n/e","167","167","n/e","192","192","n/e"
"11.08.2021 10:15 - 11.08.2021 10:30","4888","4888","n/e","173","173","n/e","194","194","n/e"
"11.08.2021 10:30 - 11.08.2021 10:45","5025","5025","n/e","178","178","n/e","195","195","n/e"
"11.08.2021 10:45 - 11.08.2021 11:00","5165","5165","n/e","183","183","n/e","197","197","n/e"
"11.08.2021 11:00 - 11.08.2021 11:15","5305","5305","n/e","187","187","n/e","199","199","n/e"
"11.08.2021 11:15 - 11.08.2021 11:30","5320","5320","n/e","191","191","n/e","201","201","n/e"
"11.08.2021 11:30 - 11.08.2021 11:45","5336","5336","n/e","194","194","n/e","203","203","n/e"
"11.08.2021 11:45 - 11.08.2021 12:00","5351","5351","n/e","197","197","n/e","206","206","n/e"
"11.08.2021 12:00 - 11.08.2021 12:15","5369","5369","n/e","200","200","n/e","210","210","n/e"
"11.08.2021 12:15 - 11.08.2021 12:30","5279","5279","n/e","201","201","n/e","210","210","n/e"
"11.08.2021 12:30 - 11.08.2021 12:45","5190","5190","n/e","200","200","n/e","213","213","n/e"
"11.08.2021 12:45 - 11.08.2021 13:00","5102","5102","n/e","199","199","n/e","213","213","n/e"
"11.08.2021 13:00 - 11.08.2021 13:15","5013","5013","n/e","198","198","n/e","215","215","n/e"
"11.08.2021 13:15 - 11.08.2021 13:30","4861","4861","n/e","197","197","n/e","213","213","n/e"
"11.08.2021 13:30 - 11.08.2021 13:45","4709","4709","n/e","195","195","n/e","209","209","n/e"
"11.08.2021 13:45 - 11.08.2021 14:00","4556","4556","n/e","194","194","n/e","207","207","n/e"
"11.08.2021 14:00 - 11.08.2021 14:15","4406","4406","n/e","192","192","n/e","203","203","n/e"
"11.08.2021 14:15 - 11.08.2021 14:30","4213","4213","n/e","189","189","n/e","201","201","n/e"
"11.08.2021 14:30 - 11.08.2021 14:45","4023","4023","n/e","185","185","n/e","197","197","n/e"
"11.08.2021 14:45 - 11.08.2021 15:00","3832","3832","n/e","180","180","n/e","194","194","n/e"
"11.08.2021 15:00 - 11.08.2021 15:15","3641","3641","n/e","176","176","n/e","189","189","n/e"
"11.08.2021 15:15 - 11.08.2021 15:30","3413","3413","n/e","170","170","n/e","182","182","n/e"
"11.08.2021 15:30 - 11.08.2021 15:45","3183","3183","n/e","161","161","n/e","171","171","n/e"
"11.08.2021 15:45 - 11.08.2021 16:00","2952","2952","n/e","153","153","n/e","161","161","n/e"
"11.08.2021 16:00 - 11.08.2021 16:15","2723","2723","n/e","145","145","n/e","150","150","n/e"
"11.08.2021 16:15 - 11.08.2021 16:30","2463","2463","n/e","137","137","n/e","140","140","n/e"
"11.08.2021 16:30 - 11.08.2021 16:45","2204","2204","n/e","129","129","n/e","132","132","n/e"
"11.08.2021 16:45 - 11.08.2021 17:00","1944","1944","n/e","121","121","n/e","123","123","n/e"
"11.08.2021 17:00 - 11.08.2021 17:15","1685","1685","n/e","114","114","n/e","116","116","n/e"
"11.08.2021 17:15 - 11.08.2021 17:30","1456","1456","n/e","106","106","n/e","108","108","n/e"
"11.08.2021 17:30 - 11.08.2021 17:45","1223","1223","n/e","97","97","n/e","106","106","n/e"
"11.08.2021 17:45 - 11.08.2021 18:00","993","993","n/e","89","89","n/e","99","99","n/e"
"11.08.2021 18:00 - 11.08.2021 18:15","764","764","n/e","81","81","n/e","95","95","n/e"
"11.08.2021 18:15 - 11.08.2021 18:30","608","608","n/e","76","76","n/e","93","93","n/e"
"11.08.2021 18:30 - 11.08.2021 18:45","455","455","n/e","74","74","n/e","87","87","n/e"
"11.08.2021 18:45 - 11.08.2021 19:00","300","300","n/e","73","73","n/e","83","83","n/e"
"11.08.2021 19:00 - 11.08.2021 19:15","147","147","n/e","71","71","n/e","81","81","n/e"
"11.08.2021 19:15 - 11.08.2021 19:30","109","109","n/e","70","70","n/e","77","77","n/e"
"11.08.2021 19:30 - 11.08.2021 19:45","72","72","n/e","71","71","n/e","70","70","n/e"
"11.08.2021 19:45 - 11.08.2021 20:00","37","37","n/e","71","71","n/e","65","65","n/e"
"11.08.2021 20:00 - 11.08.2021 20:15","0","0","n/e","71","71","n/e","60","60","n/e"
"11.08.2021 20:15 - 11.08.2021 20:30","0","0","n/e","72","72","n/e","54","54","n/e"
"11.08.2021 20:30 - 11.08.2021 20:45","0","0","n/e","72","72","n/e","51","51","n/e"
"11.08.2021 20:45 - 11.08.2021 21:00","0","0","n/e","72","72","n/e","48","48","n/e"
"11.08.2021 21:00 - 11.08.2021 21:15","0","0","n/e","73","73","n/e","43","43","n/e"
"11.08.2021 21:15 - 11.08.2021 21:30","0","0","n/e","73","73","n/e","43","43","n/e"
"11.08.2021 21:30 - 11.08.2021 21:45","0","0","n/e","73","73","n/e","41","41","n/e"
"11.08.2021 21:45 - 11.08.2021 22:00","0","0","n/e","73","73","n/e","42","42","n/e"
"11.08.2021 22:00 - 11.08.2021 22:15","0","0","n/e","73","73","n/e","41","41","n/e"
"11.08.2021 22:15 - 11.08.2021 22:30","0","0","n/e","75","75","n/e","41","41","n/e"
"11.08.2021 22:30 - 11.08.2021 22:45","0","0","n/e","78","78","n/e","43","43","n/e"
"11.08.2021 22:45 - 11.08.2021 23:00","0","0","n/e","81","81","n/e","45","45","n/e"
"11.08.2021 23:00 - 11.08.2021 23:15","0","0","n/e","84","84","n/e","47","47","n/e"
"11.08.2021 23:15 - 11.08.2021 23:30","0","0","n/e","86","86","n/e","50","50","n/e"
"11.08.2021 23:30 - 11.08.2021 23:45","0","0","n/e","89","89","n/e","56","56","n/e"
"11.08.2021 23:45 - 12.08.2021 00:00","0","0","n/e","91","91","n/e","62","62","n/e"
"12.08.2021 00:00 - 12.08.2021 00:15","0","0","n/e","99","99","n/e","78","78","n/e"
"12.08.2021 00:15 - 12.08.2021 00:30","0","0","n/e","102","102","n/e","85","85","n/e"
"12.08.2021 00:30 - 12.08.2021 00:45","0","0","n/e","107","107","n/e","95","95","n/e"
"12.08.2021 00:45 - 12.08.2021 01:00","0","0","n/e","112","112","n/e","105","105","n/e"
"12.08.2021 01:00 - 12.08.2021 01:15","0","0","n/e","117","117","n/e","115","115","n/e"
"12.08.2021 01:15 - 12.08.2021 01:30","0","0","n/e","122","122","n/e","121","121","n/e"
"12.08.2021 01:30 - 12.08.2021 01:45","0","0","n/e","128","128","n/e","130","130","n/e"
"12.08.2021 01:45 - 12.08.2021 02:00","0","0","n/e","134","134","n/e","137","137","n/e"
"12.08.2021 02:00 - 12.08.2021 02:15","0","0","n/e","140","140","n/e","146","146","n/e"
"12.08.2021 02:15 - 12.08.2021 02:30","0","0","n/e","141","141","n/e","152","152","n/e"
"12.08.2021 02:30 - 12.08.2021 02:45","0","0","n/e","136","136","n/e","155","155","n/e"
"12.08.2021 02:45 - 12.08.2021 03:00","0","0","n/e","131","131","n/e","160","160","n/e"
"12.08.2021 03:00 - 12.08.2021 03:15","0","0","n/e","126","126","n/e","161","161","n/e"
"12.08.2021 03:15 - 12.08.2021 03:30","0","0","n/e","122","122","n/e","166","166","n/e"
"12.08.2021 03:30 - 12.08.2021 03:45","0","0","n/e","117","117","n/e","166","166","n/e"
"12.08.2021 03:45 - 12.08.2021 04:00","0","0","n/e","113","113","n/e","164","164","n/e"
"12.08.2021 04:00 - 12.08.2021 04:15","0","0","n/e","109","109","n/e","166","166","n/e"
"12.08.2021 04:15 - 12.08.2021 04:30","5","5","n/e","107","107","n/e","168","168","n/e"
"12.08.2021 04:30 - 12.08.2021 04:45","12","12","n/e","106","106","n/e","169","169","n/e"
"12.08.2021 04:45 - 12.08.2021 05:00","16","16","n/e","106","106","n/e","169","169","n/e"
"12.08.2021 05:00 - 12.08.2021 05:15","21","21","n/e","105","105","n/e","168","168","n/e"
"12.08.2021 05:15 - 12.08.2021 05:30","157","157","n/e","108","108","n/e","166","166","n/e"
"12.08.2021 05:30 - 12.08.2021 05:45","287","287","n/e","113","113","n/e","159","159","n/e"
"12.08.2021 05:45 - 12.08.2021 06:00","419","419","n/e","119","119","n/e","153","153","n/e"
"12.08.2021 06:00 - 12.08.2021 06:15","554","554","n/e","124","124","n/e","144","144","n/e"
"12.08.2021 06:15 - 12.08.2021 06:30","821","821","n/e","128","128","n/e","139","139","n/e"
"12.08.2021 06:30 - 12.08.2021 06:45","1088","1088","n/e","131","131","n/e","135","135","n/e"
"12.08.2021 06:45 - 12.08.2021 07:00","1358","1358","n/e","133","133","n/e","131","131","n/e"
"12.08.2021 07:00 - 12.08.2021 07:15","1625","1625","n/e","136","136","n/e","124","124","n/e"
"12.08.2021 07:15 - 12.08.2021 07:30","1956","1956","n/e","134","134","n/e","125","125","n/e"
"12.08.2021 07:30 - 12.08.2021 07:45","2288","2288","n/e","128","128","n/e","129","129","n/e"
"12.08.2021 07:45 - 12.08.2021 08:00","2621","2621","n/e","122","122","n/e","131","131","n/e"
"12.08.2021 08:00 - 12.08.2021 08:15","2953","2953","n/e","116","116","n/e","136","136","n/e"
"12.08.2021 08:15 - 12.08.2021 08:30","3260","3260","n/e","112","112","n/e","139","139","n/e"
"12.08.2021 08:30 - 12.08.2021 08:45","3566","3566","n/e","109","109","n/e","147","147","n/e"
"12.08.2021 08:45 - 12.08.2021 09:00","3876","3876","n/e","106","106","n/e","151","151","n/e"
"12.08.2021 09:00 - 12.08.2021 09:15","4182","4182","n/e","104","104","n/e","158","158","n/e"
"12.08.2021 09:15 - 12.08.2021 09:30","4430","4430","n/e","103","103","n/e","163","163","n/e"
"12.08.2021 09:30 - 12.08.2021 09:45","4679","4679","n/e","104","104","n/e","170","170","n/e"
"12.08.2021 09:45 - 12.08.2021 10:00","4928","4928","n/e","105","105","n/e","175","175","n/e"
"12.08.2021 10:00 - 12.08.2021 10:15","5175","5175","n/e","105","105","n/e","182","182","n/e"
"12.08.2021 10:15 - 12.08.2021 10:30","5317","5317","n/e","106","106","n/e","187","187","n/e"
"12.08.2021 10:30 - 12.08.2021 10:45","5455","5455","n/e","106","106","n/e","195","195","n/e"
"12.08.2021 10:45 - 12.08.2021 11:00","5595","5595","n/e","107","107","n/e","201","201","n/e"
"12.08.2021 11:00 - 12.08.2021 11:15","5737","5737","n/e","107","107","n/e","205","205","n/e"
"12.08.2021 11:15 - 12.08.2021 11:30","5750","5750","n/e","107","107","n/e","213","213","n/e"
"12.08.2021 11:30 - 12.08.2021 11:45","5763","5763","n/e","107","107","n/e","218","218","n/e"
"12.08.2021 11:45 - 12.08.2021 12:00","5777","5777","n/e","107","107","n/e","225","225","n/e"
"12.08.2021 12:00 - 12.08.2021 12:15","5790","5790","n/e","108","108","n/e","232","232","n/e"
"12.08.2021 12:15 - 12.08.2021 12:30","5714","5714","n/e","106","106","n/e","234","234","n/e"
"12.08.2021 12:30 - 12.08.2021 12:45","5638","5638","n/e","102","102","n/e","232","232","n/e"
"12.08.2021 12:45 - 12.08.2021 13:00","5563","5563","n/e","98","98","n/e","233","233","n/e"
"12.08.2021 13:00 - 12.08.2021 13:15","5487","5487","n/e","95","95","n/e","232","232","n/e"
"12.08.2021 13:15 - 12.08.2021 13:30","5326","5326","n/e","92","92","n/e","232","232","n/e"
"12.08.2021 13:30 - 12.08.2021 13:45","5161","5161","n/e","91","91","n/e","232","232","n/e"
"12.08.2021 13:45 - 12.08.2021 14:00","4998","4998","n/e","89","89","n/e","230","230","n/e"
"12.08.2021 14:00 - 12.08.2021 14:15","4836","4836","n/e","88","88","n/e","230","230","n/e"
"12.08.2021 14:15 - 12.08.2021 14:30","4582","4582","n/e","86","86","n/e","224","224","n/e"
"12.08.2021 14:30 - 12.08.2021 14:45","4328","4328","n/e","83","83","n/e","216","216","n/e"
"12.08.2021 14:45 - 12.08.2021 15:00","4078","4078","n/e","80","80","n/e","207","207","n/e"
"12.08.2021 15:00 - 12.08.2021 15:15","3822","3822","n/e","77","77","n/e","198","198","n/e"
"12.08.2021 15:15 - 12.08.2021 15:30","3483","3483","n/e","71","71","n/e","187","187","n/e"
"12.08.2021 15:30 - 12.08.2021 15:45","3144","3144","n/e","63","63","n/e","168","168","n/e"
"12.08.2021 15:45 - 12.08.2021 16:00","2807","2807","n/e","55","55","n/e","150","150","n/e"
"12.08.2021 16:00 - 12.08.2021 16:15","2469","2469","n/e","47","47","n/e","135","135","n/e"
"12.08.2021 16:15 - 12.08.2021 16:30","2159","2159","n/e","41","41","n/e","118","118","n/e"
"12.08.2021 16:30 - 12.08.2021 16:45","1850","1850","n/e","38","38","n/e","105","105","n/e"
"12.08.2021 16:45 - 12.08.2021 17:00","1542","1542","n/e","34","34","n/e","90","90","n/e"
"12.08.2021 17:00 - 12.08.2021 17:15","1234","1234","n/e","30","30","n/e","77","77","n/e"
"12.08.2021 17:15 - 12.08.2021 17:30","1051","1051","n/e","27","27","n/e","69","69","n/e"
"12.08.2021 17:30 - 12.08.2021 17:45","870","870","n/e","23","23","n/e","65","65","n/e"
"12.08.2021 17:45 - 12.08.2021 18:00","691","691","n/e","19","19","n/e","61","61","n/e"
"12.08.2021 18:00 - 12.08.2021 18:15","508","508","n/e","16","16","n/e","55","55","n/e"
"12.08.2021 18:15 - 12.08.2021 18:30","404","404","n/e","14","14","n/e","51","51","n/e"
"12.08.2021 18:30 - 12.08.2021 18:45","306","306","n/e","13","13","n/e","49","49","n/e"
"12.08.2021 18:45 - 12.08.2021 19:00","204","204","n/e","13","13","n/e","45","45","n/e"
"12.08.2021 19:00 - 12.08.2021 19:15","100","100","n/e","13","13","n/e","42","42","n/e"
"12.08.2021 19:15 - 12.08.2021 19:30","77","77","n/e","15","15","n/e","41","41","n/e"
"12.08.2021 19:30 - 12.08.2021 19:45","53","53","n/e","19","19","n/e","42","42","n/e"
"12.08.2021 19:45 - 12.08.2021 20:00","27","27","n/e","23","23","n/e","44","44","n/e"
"12.08.2021 20:00 - 12.08.2021 20:15","0","0","n/e","28","28","n/e","45","45","n/e"
"12.08.2021 20:15 - 12.08.2021 20:30","0","0","n/e","34","34","n/e","49","49","n/e"
"12.08.2021 20:30 - 12.08.2021 20:45","0","0","n/e","42","42","n/e","57","57","n/e"
"12.08.2021 20:45 - 12.08.2021 21:00","0","0","n/e","50","50","n/e","62","62","n/e"
"12.08.2021 21:00 - 12.08.2021 21:15","0","0","n/e","58","58","n/e","69","69","n/e"
"12.08.2021 21:15 - 12.08.2021 21:30","0","0","n/e","65","65","n/e","76","76","n/e"
"12.08.2021 21:30 - 12.08.2021 21:45","0","0","n/e","70","70","n/e","86","86","n/e"
"12.08.2021 21:45 - 12.08.2021 22:00","0","0","n/e","74","74","n/e","96","96","n/e"
"12.08.2021 22:00 - 12.08.2021 22:15","0","0","n/e","79","79","n/e","105","105","n/e"
"12.08.2021 22:15 - 12.08.2021 22:30","0","0","n/e","85","85","n/e","120","120","n/e"
"12.08.2021 22:30 - 12.08.2021 22:45","0","0","n/e","93","93","n/e","141","141","n/e"
"12.08.2021 22:45 - 12.08.2021 23:00","0","0","n/e","101","101","n/e","163","163","n/e"
"12.08.2021 23:00 - 12.08.2021 23:15","0","0","n/e","109","109","n/e","184","184","n/e"
"12.08.2021 23:15 - 12.08.2021 23:30","0","0","n/e","119","119","n/e","203","203","n/e"
"12.08.2021 23:30 - 12.08.2021 23:45","0","0","n/e","131","131","n/e","222","222","n/e"
"12.08.2021 23:45 - 13.08.2021 00:00","0","0","n/e","143","143","n/e","238","238","n/e"
"13.08.2021 00:00 - 13.08.2021 00:15","0","0","n/e","169","169","n/e","181","181","n/e"
"13.08.2021 00:15 - 13.08.2021 00:30","0","0","n/e","177","177","n/e","199","199","n/e"
"13.08.2021 00:30 - 13.08.2021 00:45","0","0","n/e","184","184","n/e","213","213","n/e"
"13.08.2021 00:45 - 13.08.2021 01:00","0","0","n/e","190","190","n/e","230","230","n/e"
"13.08.2021 01:00 - 13.08.2021 01:15","0","0","n/e","196","196","n/e","247","247","n/e"
"13.08.2021 01:15 - 13.08.2021 01:30","0","0","n/e","205","205","n/e","264","264","n/e"
"13.08.2021 01:30 - 13.08.2021 01:45","0","0","n/e","216","216","n/e","282","282","n/e"
"13.08.2021 01:45 - 13.08.2021 02:00","0","0","n/e","227","227","n/e","300","300","n/e"
"13.08.2021 02:00 - 13.08.2021 02:15","0","0","n/e","238","238","n/e","316","316","n/e"
"13.08.2021 02:15 - 13.08.2021 02:30","0","0","n/e","249","249","n/e","335","335","n/e"
"13.08.2021 02:30 - 13.08.2021 02:45","0","0","n/e","258","258","n/e","350","350","n/e"
"13.08.2021 02:45 - 13.08.2021 03:00","0","0","n/e","267","267","n/e","366","366","n/e"
"13.08.2021 03:00 - 13.08.2021 03:15","0","0","n/e","277","277","n/e","383","383","n/e"
"13.08.2021 03:15 - 13.08.2021 03:30","0","0","n/e","287","287","n/e","397","397","n/e"
"13.08.2021 03:30 - 13.08.2021 03:45","0","0","n/e","299","299","n/e","412","412","n/e"
"13.08.2021 03:45 - 13.08.2021 04:00","0","0","n/e","311","311","n/e","425","425","n/e"
"13.08.2021 04:00 - 13.08.2021 04:15","0","0","n/e","322","322","n/e","439","439","n/e"
"13.08.2021 04:15 - 13.08.2021 04:30","4","4","n/e","333","333","n/e","449","449","n/e"
"13.08.2021 04:30 - 13.08.2021 04:45","8","8","n/e","344","344","n/e","451","451","n/e"
"13.08.2021 04:45 - 13.08.2021 05:00","14","14","n/e","354","354","n/e","455","455","n/e"
"13.08.2021 05:00 - 13.08.2021 05:15","18","18","n/e","364","364","n/e","461","461","n/e"
"13.08.2021 05:15 - 13.08.2021 05:30","155","155","n/e","373","373","n/e","456","456","n/e"
"13.08.2021 05:30 - 13.08.2021 05:45","285","285","n/e","379","379","n/e","443","443","n/e"
